#SampleID	InputFileName	Type	Location	Species	Transect Position (m from start)	Dist. From transect (m)	Collection Date	Collection Time
1	1_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Ssid	0.6	0.75	7/19/15	9-10am
2	2_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Mcav	4	2	7/19/15	9-10am
3	3_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Oann	3.1	2	7/19/15	9-10am
4	4_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Past	4.8	2.5	7/19/15	9-10am
5	5_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Mcav	6	1.5	7/19/15	9-10am
6	6_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Ssid	10.6	1.5	7/19/15	9-10am
7	7_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Past	12	1.5	7/19/15	9-10am
8	8_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Pstr	12.7	3	7/19/15	9-10am
9	9_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Past	14.5	0.5	7/19/15	9-10am
10	10_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Mcav	15	2	7/19/15	9-10am
11	11_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Pstr	16.5	3	7/19/15	9-10am
12	12_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Ssid	17.6	1.5	7/19/15	9-10am
13	13_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Pstr	20.1	1.5	7/19/15	9-10am
14	14_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Past	19	-2.5	7/20/15	10-11am
15	15_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Mcav	27	1	7/20/15	10-11am
16	16_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Dcyl	26.1	-0.9	7/20/15	10-11am
17	17_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Mmir	16.7	-1.5	7/20/15	10-11am
18	18_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Ssid	17	-2	7/20/15	10-11am
19	19_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Srad	12.8	1.5	7/20/15	10-11am
20	20_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Pstr	33.2	1	7/20/15	10-11am
21	21_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Past	34.7	1	7/20/15	10-11am
22	22_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Oann	28.7	1	7/20/15	10-11am
23	23_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Mmir	18.8	-2	7/20/15	10-11am
24	24_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Oann	11.7	0.5	7/20/15	10-11am
25	25_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Ssid	29.5	0.5	7/20/15	10-11am
26	26_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Mcav	16.7	-1.6	7/20/15	10-11am
27	27_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Srad	27.2	-2	7/20/15	10-11am
28	28_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Pstr	14.4	1.2	7/20/15	10-11am
29	29_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Oann	16.8	-1.6	7/20/15	10-11am
30	30_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Oann	37.5	-1	7/20/15	10-11am
31	31_MERGED-MAX-MISMATCH-0	Coral	West Tektite	Srad			7/20/15	10-11am
32	32_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Mcav	39	-1	7/20/15	3-4pm
33	33_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Past	19.3	-2	7/20/15	3-4pm
34	34_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Pstr	38.3	34	7/20/15	3-4pm
35	35_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Oann	17.5	-1.5	7/20/15	3-4pm
36	36_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Dcyl	34	-1	7/20/15	3-4pm
37	37_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Past	13	0.6	7/20/15	3-4pm
38	38_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Past	0.9	0.9	7/20/15	3-4pm
39	39_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Oann	18.3	-0.5	7/20/15	3-4pm
40	40_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Oann	5	2	7/20/15	3-4pm
41	41_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Mcav	0	0.8	7/20/15	3-4pm
42	42_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Pstr	14.5	1.8	7/20/15	3-4pm
43	43_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Pstr	12.6	0.8	7/20/15	3-4pm
44	44_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Past	34.3	-1	7/20/15	3-4pm
45	45_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Ssid	2	1.5	7/20/15	3-4pm
46	46_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Mcav	17.5	-1.5	7/20/15	3-4pm
47	47_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Mmir	19.3	-2.5	7/20/15	3-4pm
48	48_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Ssid	18	1	7/20/15	3-4pm
49	49_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Ssid	1	-1.5	7/20/15	3-4pm
50	50_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Dcyl	3.2	1.7	7/20/15	3-4pm
51	51_MERGED-MAX-MISMATCH-0	Coral	Cabritte Horn	Ssid	13	0.5	7/20/15	3-4pm
