otu	sim	del	ins	mis	len	score	hit
1	denovo317	72.76	11	17	42	257	163.5	A133_DQ174725
2	denovo3940	84.67	7	24	59	587	188	H6_AJ291520
3	denovo1720	74.57	12	21	41	291	192	F5.1c_AM748593
4	denovo1099	72.29	7	15	47	249	194	A120_AF180122
5	denovo2892	73.96	12	16	41	265	195.5	B19a_JN558055
6	denovo1660	78.34	7	15	38	277	195.5	C3q_GU907655
7	denovo1618	74.47	15	12	45	282	195.5	C1107_DQ335359
8	denovo1660	77.74	8	14	41	283	195.5	C45a_AY765404
9	denovo339	80.59	11	22	40	376	195.5	D1.2_AM748617
10	denovo4439	74.81	12	13	43	270	198	D124_EU074897
11	denovo4439	69.72	8	16	62	284	198	E109_EU074913
12	denovo3838	83.65	8	28	60	587	198	H6_AJ291520
13	denovo4405	81.12	15	19	37	376	203.5	D1.2_AM748617
14	denovo4118	79.79	9	19	48	376	203.5	D1.2_AM748617
15	denovo5312	74.82	15	12	44	282	204.5	C1107_DQ335359
16	denovo2874	76.19	15	15	40	294	204.5	F1_JN558066
17	denovo2414	74.74	13	18	41	285	205	E1_AF334659
18	denovo5296	70.77	12	16	55	284	206	F4.8_AM748588;F4.8a_AM748589
19	denovo3090	74.24	7	17	52	295	206	F3.4_AM748570
20	denovo1351	77.46	13	14	37	284	206.5	E102_EU074924
21	denovo27	85.17	7	30	49	580	206.5	H6_AJ291520
22	denovo649	87.39	6	23	45	587	209	H6_AJ291520
23	denovo1929	66.67	16	11	52	237	209.5	A123_EF378618
24	denovo1399	79.86	12	16	29	283	211.5	C15.27_KC597689
25	denovo5310	80.43	14	19	39	368	212.5	D1.1_AM748564
26	denovo1331	80.05	7	24	44	376	212.5	D1.2_AM748617
27	denovo329	74.47	14	26	56	376	213	D1.2_AM748617
28	denovo2545	77.04	4	14	44	270	213.5	D102_AF174573
29	denovo5136	76.22	14	14	40	286	213.5	G2_AM748598
30	denovo1925	72.54	10	19	49	284	214	F4.5_AM748585
31	denovo4269	86.2	10	32	39	587	214	H6_AJ291520
32	denovo3634	77.58	14	14	35	281	214.5	F4.2_AM748574
33	denovo5613	73.24	8	18	50	284	215	F109_AJ291527
34	denovo893	79.62	10	17	48	368	215	D1.1_AM748564
35	denovo4331	74.48	14	14	45	286	216	G2_AM748598
36	denovo309	73.15	9	12	48	257	216.5	A4.3_FN429763
37	denovo5223	75.26	10	18	43	287	216.5	E100_DQ011618
38	denovo923	77.46	17	8	39	284	217	F4.8_AM748588;F4.8a_AM748589
39	denovo1248	73.14	11	21	69	376	217	D1.2_AM748617
40	denovo15	81.25	14	19	36	368	217.5	D1.1_AM748564
41	denovo588	70.82	10	12	53	257	218	A4.3_FN429763
42	denovo5168	70.07	15	13	57	284	218	E110_EU074914
43	denovo2842	82.96	11	31	58	587	218.5	H6_AJ291520
44	denovo2873	75.27	16	21	56	376	219	D1.2_AM748617
45	denovo4762	75.27	16	21	56	376	219	D1.2_AM748617
46	denovo1061	76.27	7	19	44	295	220	F3.4_AM748570
47	denovo5401	75.27	15	21	57	376	220	D1.2_AM748617
48	denovo2406	75.93	14	15	42	295	220.5	F3.3_AM748569
49	denovo2406	74.25	12	15	50	299	220.5	F3.2_AM748567
50	denovo208	73.42	14	14	35	237	221.5	A123_EF378618
51	denovo679	83.13	9	33	57	587	221.5	H6_AJ291520
52	denovo5140	77.22	15	14	35	281	222.5	F4.2_AM748574
53	denovo1869	76.95	14	16	38	295	222.5	F3.3_AM748569
54	denovo828	76.95	14	16	38	295	222.5	F3.3_AM748569
55	denovo3024	81.25	8	21	40	368	222.5	D1.1_AM748564
56	denovo3210	82.45	10	30	63	587	222.5	H6_AJ291520
57	denovo2876	75.7	12	15	42	284	224.5	C1193_EU099827
58	denovo344	79.26	15	23	40	376	224.5	D1.2_AM748617
59	denovo4117	86.37	8	26	46	587	224.5	H6_AJ291520
60	denovo5575	83.42	7	24	30	368	225.5	D1.1_AM748564
61	denovo3028	74.64	17	12	41	276	226	C32.1_JF683335
62	denovo5273	71.6	12	14	47	257	226.5	A4.3_FN429763
63	denovo5272	80.85	9	20	43	376	226.5	D1.2_AM748617
64	denovo5536	83.13	11	32	56	587	226.5	H6_AJ291520
65	denovo3259	79.09	13	13	34	287	227	G101_AJ291539
66	denovo2233	76.33	12	25	52	376	227	D1.2_AM748617
67	denovo313	75.35	11	16	43	284	227.5	C15.23_KC597697
68	denovo4844	74.18	18	18	43	306	227.5	I2_FN561560
69	denovo1745	77	13	14	39	287	228	G3.4_LK392378
70	denovo2840	83.01	11	16	34	359	228	D1.1_AM748564
71	denovo5045	74.73	12	28	55	376	228	D1.2_AM748617
72	denovo3042	69.01	20	10	58	284	228.5	F110_AJ291526
73	denovo3347	83.13	14	34	51	587	228.5	H6_AJ291520
74	denovo2388	83.3	12	32	54	587	228.5	H6_AJ291520
75	denovo5153	75.65	15	14	37	271	229	D107_AF174568;D108_AF174567
76	denovo2385	76.95	14	15	39	295	229.5	F3.3_AM748569
77	denovo3425	77.55	12	17	37	294	230	F5.1d_JN558069
78	denovo3274	75.17	17	15	41	294	230	F5.1d_JN558069
79	denovo3281	71.47	15	21	61	340	230	D1.1_AM748564
80	denovo676	74.56	10	17	45	283	230.5	C33.1_AY258498
81	denovo2587	79.79	13	15	48	376	230.5	D1.2_AM748617
82	denovo24	69.02	14	13	52	255	231.5	A113_AF184948
83	denovo4736	69.02	14	13	52	255	231.5	A113_AF184948
84	denovo3054	75.17	15	15	43	294	232	F5.1d_JN558069
85	denovo1139	79.26	10	26	42	376	232	D1.2_AM748617
86	denovo4999	76.12	10	15	39	268	232.5	C1194_EU099826
87	denovo1530	78.44	15	17	26	269	232.5	B23_EU449079
88	denovo1530	74.72	14	18	36	269	232.5	B30_GU907644
89	denovo1751	78.19	9	24	49	376	233	D1.2_AM748617
90	denovo2592	76.06	8	15	45	284	233.5	C38a_AY258483
91	denovo2592	83.75	10	30	44	517	233.5	H6_AJ291520
92	denovo5138	80.85	9	19	44	376	234	D1.2_AM748617
93	denovo1143	72.91	10	12	46	251	234.5	A140_EU074930
94	denovo3414	74.46	17	18	36	278	234.5	B119_EU099825
95	denovo3890	79	13	12	34	281	234.5	F4.6_AM748586
96	denovo1241	71.77	11	17	55	294	234.5	F5.1c_AM748593
97	denovo2860	72.88	10	15	55	295	234.5	F3.4a_AM748571
98	denovo4450	79.79	14	18	44	376	234.5	D1.2_AM748617
99	denovo1516	77.12	12	14	36	271	235	D107_AF174568;D108_AF174567
100	denovo921	68.29	12	19	60	287	235	G3_AM748600
101	denovo921	67.25	15	19	60	287	235	G100_AB253788
102	denovo5558	73.94	15	13	46	284	235.5	C1193_EU099827
103	denovo983	74.51	18	16	44	306	235.5	I4_FN561562;I3_FN561561
104	denovo4676	73.5	11	14	50	283	236	C1160_AB294608;C1172_AB294665;C91c_AM748558;C1161_AB294606;C1173_AB294662
105	denovo2357	75.09	9	17	44	281	236.5	F4.1a_AM748573
106	denovo3537	74.73	8	15	48	281	236.5	F4.1a_AM748573
107	denovo65	76.06	15	10	43	284	236.5	C1193_EU099827
108	denovo4192	74.51	18	18	42	306	236.5	I2_FN561560
109	denovo4084	78.8	11	20	47	368	236.5	D1.1_AM748564
110	denovo2363	74.3	16	10	47	284	237	C1193_EU099827
111	denovo3765	75.96	11	17	41	287	237.5	G3.4_LK392378
112	denovo2925	78.53	12	20	47	368	238.5	D1.1_AM748564
113	denovo4840	79.58	13	10	35	284	239.5	B30_GU907644
114	denovo4650	73.58	12	12	55	299	239.5	F3.2_AM748567
115	denovo1655	79.41	13	18	32	306	239.5	I2_FN561560
116	denovo61	75.65	12	13	41	271	240	D122_EU074905;D114_AF174549;D113_AF174557;D1.11_HE579040;D1.6_HQ630881
117	denovo2852	73.14	13	12	51	283	240	B33_GU907648
118	denovo3137	73.52	10	15	51	287	240	E108_EU074912
119	denovo989	69.75	14	12	59	281	241	F4.6_AM748586
120	denovo1973	81.63	10	37	59	577	241.5	H6_AJ291520
121	denovo3126	77.11	11	12	42	284	242.5	B30_GU907644
122	denovo3060	80.24	7	36	73	587	242.5	H6_AJ291520
123	denovo575	71.77	14	16	53	294	243	F5.2c_AM748596
124	denovo4631	76.92	10	17	42	299	243	F3.2a_AM748568
125	denovo768	74.25	12	15	50	299	243	F3.2_AM748567
126	denovo66	73.91	11	16	51	299	243	F3.2a_AM748568
127	denovo4631	74.18	9	20	50	306	243	I2_FN561560
128	denovo3427	77.99	14	25	42	368	243	D1.1_AM748564
129	denovo1138	77.69	15	22	46	372	243	D1.2_AM748617
130	denovo1879	77.11	11	11	43	284	243.5	B30_GU907644
131	denovo203	77.11	11	11	43	284	243.5	B30_GU907644
132	denovo5614	73.87	9	15	51	287	244.5	E108_EU074912
133	denovo1140	73.53	10	20	51	306	244.5	I2_FN561560
134	denovo3533	77.45	12	20	51	368	244.5	D1.1_AM748564
135	denovo3216	74.35	9	20	60	347	245	D1.1_AM748564
136	denovo3417	82.34	8	15	42	368	245	D1.1_AM748564
137	denovo122	76.86	10	26	51	376	245	D1.2_AM748617
138	denovo5476	85.18	6	23	58	587	245	H6_AJ291520
139	denovo3149	74	11	14	40	250	245.5	A4.2_FN429761
140	denovo1823	76.49	16	17	34	285	246	I4_FN561562;I3_FN561561
141	denovo1060	78.72	17	17	46	376	246	D1.2_AM748617
142	denovo5592	70.82	16	15	44	257	246.5	A4.3_FN429763
143	denovo3579	75	13	16	63	368	246.5	D1.1_AM748564
144	denovo3903	86.71	12	25	41	587	247	H6_AJ291520
145	denovo5397	71.83	11	12	57	284	247.5	E110_EU074914
146	denovo4498	67.84	14	12	56	255	248	A107_AB207199
147	denovo1408	74.2	10	15	48	283	248	C1160_AB294608;C1161_AB294606;C1173_AB294662
148	denovo5467	74.2	10	15	48	283	248	C1160_AB294608;C91c_AM748558;C1161_AB294606;C1173_AB294662
149	denovo729	71.13	10	12	60	284	248.5	E110_EU074914
150	denovo4543	77.66	14	23	47	376	248.5	D1.2_AM748617
151	denovo3143	75.26	14	17	40	287	249	G101_AJ291539
152	denovo544	72.2	8	14	60	295	249	F3.4b_AM748616
153	denovo1974	81.94	11	31	64	587	249.5	H6_AJ291520
154	denovo4634	75.97	11	20	37	283	250.5	C79_AY765414
155	denovo2407	74.56	10	14	49	287	250.5	E108_EU074912
156	denovo3056	74.56	10	14	49	287	250.5	E108_EU074912
157	denovo5391	72.54	12	16	50	284	251	E109_EU074913
158	denovo698	80.59	10	21	42	376	251.5	D1.2_AM748617
159	denovo2394	84.16	13	28	52	587	252.5	H6_AJ291520
160	denovo2692	74.38	10	15	47	281	253.5	F111_AJ311949
161	denovo268	72.73	8	11	59	286	253.5	G2b_JN558087
162	denovo1863	74.22	9	15	50	287	253.5	E108_EU074912
163	denovo3577	73.9	15	18	44	295	253.5	F3.4_AM748570;F3.4b_AM748616
164	denovo2693	73.67	16	17	41	281	254	F4.6_AM748586
165	denovo3261	73.86	12	21	47	306	254.5	I3_FN561561
166	denovo468	73.17	11	14	52	287	255	E108_EU074912
167	denovo757	75.25	18	15	40	295	255.5	F3.4b_AM748616
168	denovo1300	68.71	15	15	57	278	256	C1131_DQ182650
169	denovo1300	73.05	15	20	41	282	256	C1194_EU099826
170	denovo5048	77.12	8	17	45	306	256	I4_FN561562
171	denovo475	75.8	10	23	58	376	256	D1.2_AM748617
172	denovo2335	76.9	14	25	46	368	257	D1.1_AM748564
173	denovo470	76.45	13	15	37	276	258	C1111_DQ182645
174	denovo2148	77.39	13	18	54	376	258.5	D1.2_AM748617
175	denovo3266	71.91	11	21	59	324	259	C49_AY589754
176	denovo4815	72.29	9	12	48	249	260	A120_AF180122
177	denovo2201	69.02	17	10	52	255	260.5	A112_AF184949
178	denovo1657	84.16	14	27	52	587	260.5	H6_AJ291520
179	denovo135	78.72	9	25	46	376	261	D1.2_AM748617
180	denovo3690	70.82	12	14	56	281	261.5	F4.6_AM748586
181	denovo5126	70.82	12	14	56	281	261.5	F4.6_AM748586
182	denovo5295	76.6	14	21	53	376	261.5	D1.2_AM748617
183	denovo121	76.86	16	24	47	376	263	D1.2_AM748617
184	denovo1864	84.83	8	29	51	580	263.5	H6_AJ291520
